input,output
a man running with a suitcase,when someone left their mark and disappeared
a cat staring at a wall,when geometry and driving don’t mix
a traffic cone in the middle of the road,when life stacks up but you just go with the flow
a squirrel holding a peanut,when coffee and wisdom go hand in hand
a robot vacuum stuck under a chair,when geometry and driving don’t mix
a person trying to parallel park,when your whole world is kinda small
a laptop with too many tabs open,when the streets are your buffet
a laptop with too many tabs open,when nature attacks but you just wanted to exist
a bird sitting on a traffic light,when life stacks up but you just go with the flow
a raccoon digging through trash,when life is full of possibilities
a dog looking at a pizza,when you are late but still gotta flex
a cup of coffee next to a book,when you have 37 tasks but decide to take a nap
a kid holding a balloon,when you finally get what you wanted
a fish in a tiny fishbowl,when you finally get what you wanted
a laptop with too many tabs open,when food is free and you are faster than security
a robot vacuum stuck under a chair,when nature attacks but you just wanted to exist
a dog looking at a pizza,when you are watching traffic but traffic is watching you
a bird sitting on a traffic light,when you realize sharing is not an option
a traffic cone in the middle of the road,when you hide your pain behind dark lenses
a cat staring at a wall,when coffee and wisdom go hand in hand
a person trying to parallel park,when you hide your pain behind dark lenses
a raccoon digging through trash,when your whole world is kinda small
a fish in a tiny fishbowl,when someone takes your toy away
a baby making a funny face,when nature attacks but you just wanted to exist
a cup of coffee next to a book,when you have 37 tasks but decide to take a nap
a baby making a funny face,when you have 37 tasks but decide to take a nap
a laptop with too many tabs open,when you have 37 tasks but decide to take a nap
a robot vacuum stuck under a chair,when coffee and wisdom go hand in hand
a stack of pancakes with syrup,when your whole world is kinda small
a robot vacuum stuck under a chair,when your whole world is kinda small
a person wearing sunglasses indoors,when the streets are your buffet
a raccoon digging through trash,when geometry and driving don’t mix
a group of people taking a selfie,when you finally get what you wanted
a group of people taking a selfie,when life is full of possibilities
a group of people taking a selfie,when food is free and you are faster than security
a robot vacuum stuck under a chair,when the journey is more dangerous than the destination
a bird sitting on a traffic light,when coffee and wisdom go hand in hand
a person struggling with an umbrella in the wind,when geometry and driving don’t mix
a cat staring at a wall,when nature attacks but you just wanted to exist
a stack of pancakes with syrup,when you are watching traffic but traffic is watching you
a raccoon digging through trash,when the streets are your buffet
a traffic cone in the middle of the road,when someone takes your toy away
a squirrel holding a peanut,when technology lets you down
a seagull stealing a french fry,when technology lets you down
a baby making a funny face,when someone left their mark and disappeared
a dog looking at a pizza,when you are late but still gotta flex
a person struggling with an umbrella in the wind,when nature attacks but you just wanted to exist
a squirrel holding a peanut,when you realize sharing is not an option
a person trying to parallel park,when the squad gotta get the perfect angle
a traffic cone in the middle of the road,when you have 37 tasks but decide to take a nap
a cat staring at a wall,when your whole world is kinda small
a person struggling with an umbrella in the wind,when someone left their mark and disappeared
a baby making a funny face,when the streets are your buffet
a robot vacuum stuck under a chair,when you rethink all your life choices
a person trying to parallel park,when you are watching traffic but traffic is watching you
a person wearing sunglasses indoors,when the squad gotta get the perfect angle
a man running with a suitcase,when geometry and driving don’t mix
a man running with a suitcase,when your whole world is kinda small
a person trying to parallel park,when someone left their mark and disappeared
