input,output
"a kite flying in the air","this kite's got more freedom than my weekends 🪁"
"a view of skyscrapers in a city","these skyscrapers flex harder than my abs 🏙️"
"a person wearing a mask","mask on, world off 😷"
"a dog playing fetch","doggo’s got that fetch game on point 🐕"
"a beach at sunset","the sun’s clocking out, beach vibes only 🌅"
"a person running in a park","fast enough to outrun my responsibilities 🏃‍♂️🌳"
"a cup of coffee on a table","this coffee’s more woke than i am ☕👀"
"a cat sitting on a windowsill","cat’s got the best seat in the house 🐱🌤️"
"a car driving down a road","just vibing on the open road, nothing to see here 🚗💨"
"a person playing guitar","rocking out like it’s 1999 🎸🤘"
"a person reading a book","getting lost in a world that’s way better than real life 📚"
"a basketball hoop","time to throw some hoops and miss 90% of them 🏀"
"a tree in a forest","this tree’s living its best life 🌳✨"
"a cup of tea on a saucer","sip, sip, pass... this tea’s got the chill vibes 🍵"
"a person sitting on a bench","sitting on this bench, questioning life’s choices 🪑🤔"
"a butterfly on a flower","this butterfly is living its best Insta life 🦋🌸"
"a mountain covered in snow","mountain’s got more snow than my yard after a storm 🏔️❄️"
"a computer screen displaying code","code so clean, it’s practically sparkling 💻✨"
"a person cooking in a kitchen","chef mode: activated 🍳👨‍🍳"
"a person riding a bike","pedal faster, the snacks are calling 🚴‍♀️🍕"
"a street filled with cars","traffic jam: a real-life game of Tetris 🚗⛔"
"a baby sleeping in a crib","this baby’s got more peace than i’ll ever know 🛏️👶"
"a person holding an umbrella","umbrella up, world down 🌧️☂️"
"a person walking their dog","dog's dragging me, but who’s walking who? 🐕💨"
"a person looking at the stars","staring at the stars like i’m trying to figure out my life ✨"
"a person jogging in the morning","jogging, but really just trying to outrun my problems 🏃‍♂️🌄"
"a food delivery box","this box contains happiness and questionable life choices 🍕📦"
"a person on a bike trail","riding through the wilderness, avoiding responsibilities 🚴‍♂️🌲"
"a street light at night","streetlight’s giving off more vibes than my social life 🌃"
"a phone on a table","phone’s just chilling, waiting for me to check it every 5 minutes 📱"
"a person drinking water","hydrated and still broke 💧💸"
"a park with benches","benches for thinking deep thoughts or taking a nap 🛋️🌳"
"a plate of pancakes","pancakes that are fluffier than my excuses 🍯🥞"
"a cloud in the sky","cloud’s chilling like it’s on vacation ☁️🌞"
"a person playing video games","gaming so hard, i forgot i have a life 🎮😎"
"a cat sleeping on a couch","cat naps harder than i do 🛋️😴"
"a laptop on a desk","laptop’s got more tabs open than i have thoughts 💻"
"a person in a coffee shop","just me, my coffee, and a whole lot of existential dread ☕"
"a tree in autumn","tree’s flexing its fall colors like it’s a fashion show 🍂🍁"
"a stack of books","these books are taller than my productivity 📚😩"
"a sunset at the beach","sunset vibes so good, it’s like the universe is flexing 🌅🌊"
"a cup of hot chocolate","hot chocolate so good, it could fix anything 🍫☕"
"a person riding a skateboard","skateboarding like i don’t care about falling 🛹"
"a person hiking in the mountains","hiking to the top, but also hiking my patience 🏞️"
"a plate of spaghetti","spaghetti so saucy, it’s almost a crime 🍝"
"a dog with a ball","doggo’s got more energy than i’ve ever had 🐶⚽"
"a computer mouse","this mouse knows more than i do about productivity 🖱️"
"a person playing a piano","playing piano like i’m in a movie scene 🎹🎶"
"a park bench","park bench perfect for contemplating life’s mysteries 🪑🌳"
"a city skyline","city’s got more lights than my future 💡🏙️"
"a cup of ice cream","ice cream so sweet, i might eat it all before you get some 🍦"
"a plate of sushi","sushi so fresh, it’s like it just swam to the plate 🍣"
"a person in a hoodie","hoodie on, world off 👕❌"
"a sunset over the mountains","mountains flexing with that golden hour glow 🌄✨"
"a person holding a pizza","pizza in hand, peace of mind achieved 🍕✌️"
"a bicycle in the park","bike’s got more freedom than my mind 🚲🌳"
"a coffee cup with a book","coffee + book = productivity (for 5 minutes) ☕📖"
"a person on a rollercoaster","rollercoaster’s got more twists than my life 🎢🤪"
"a person sitting on a rooftop","rooftop views that make me feel like i have my life together 🏙️"
"a bottle of water","water’s the real MVP 💧🏆"
"a plate of donuts","donuts so good, they’re basically a hug for my soul 🍩🤗"
"a park with flowers","flowers out here living their best life 🌸🌼"
"distracted boyfriend meme","this boyfriend got caught slipping 🔥"
"two buttons meme","press one and suffer press the other and suffer harder 🤔"
"drake hotline bling meme","drake approves this choice, drake rejects that one 👌"
"one does not simply meme","one does not simply enter without an opinion 🤨"
"mocking spongebob meme","when you act dumb but it’s sarcastic 😂"
"expanding brain meme","next level thinking 💡"
"change my mind meme","prove me wrong, I dare you 👊"
"left exit 12 off ramp meme","decisions, decisions 🤷"
"ancient aliens meme","aliens did it 👽"
"roll safe think about it meme","can’t be wrong if you never try 🤔"
"futurama fry meme","not sure if tired or just life 😴"
"boardroom meeting suggestion meme","let’s throw that idea out the window 💥"
"waiting skeleton meme","waiting for my life to start like... ⏳"
"X, X everywhere meme","when you see the same thing everywhere 🔄"
"woman yelling at cat meme","it’s not the cat’s fault 😤"
"blank nut button meme","press if you need to shut it down 🔴"
"the most interesting man in the world meme","I don’t always... but when I do, it’s epic 😎"
"bad luck brian meme","luck’s not on his side this time 🤦"
"leonardo dicaprio cheers meme","celebrating the small wins 🥂"
"surprised pikachu meme","pikachu’s reaction to bad decisions 😱"
"is this a pigeon meme","is this... or is it not? 🤷"
"inhaling seagull meme","when you breathe in the chaos 😂"
"running away balloon meme","escaping my responsibilities like... 💨"
"first world problems meme","tears over wifi issues 😭"
"disaster girl meme","disaster? I’m just living my best life 💥"
"doge meme","such wow, much meme 🐕"
"the rock driving meme", "you’ll never guess where we’re going 🚗"
"y’all got any more of that meme", "when you need more of that good stuff 🤑"
"oprah you get a meme", "you get a car you get a car everyone gets a car 🚗"
"hide the pain harold meme", "when life gives you lemons... 😐"
"Y U No meme", "why u no understand? 😡"
"that would be great meme", "just what I need Bill 💼"
"scroll of truth meme", "finally found the truth after years of searching 🤔"
"american chopper argument meme", "fighting over the dumbest things as usual 💥"
"third world skeptical kid meme", "just sitting there questioning everything 🤨"
"UNO draw 25 cards meme", "either do this or draw 25 your choice 🙄"
"brace yourselves meme", "brace yourselves winter’s coming 🥶"
"finding neverland meme", "just trying to find some peace 🧸"
"creepy condescending wonka meme", "tell me more about how you know it all 🤨"
"X all the Y meme", "all the things all the time 🔥"
"trump bill signing meme", "when you have power but also bad ideas 💼"
"grumpy cat meme", "nope not feeling it today 😒"
"captain picard facepalm meme", "I can’t believe this is happening 🤦"
"but that’s none of my business meme", "sips tea while watching the chaos unfold 🍵"
"tuxedo winnie the pooh meme", "so classy Pooh. So very classy 🐻"
"don’t you squidward meme", "squidward’s got the smirk game on lock 😂"
"grandma finds the internet meme", "when grandma tries to use emojis for the first time 💻"
"star wars yoda meme", "yoda knows more than you think 👽"
"black girl wat meme", "when someone says something ridiculous 🤦"
"third world success kid meme", "that’s the look of pure joy 🙌"
"unsettled tom meme", "tom’s face says it all: what even is this? 😳"
"matrix morpheus meme", "what if I told you... you’re not ready? 🤯"
"evil toddler meme", "when the toddler’s the real villain here 👶"
"epic handshake meme", "bro I got you. You got me 💪"
"picard wtf meme", "picard’s reaction to life’s questions 🤨"
"evil kermit meme", "the dark side is always tempting 🌑"
"success kid meme", "living the dream one fist pump at a time 💪"
"philosoraptor meme", "deep thoughts deeper confusion 🦖"
"10 guy meme", "stoned thoughts 10/10 😂"
"marked safe from meme", "marked safe from overthinking today 🧘"
"who killed hannibal meme", "why would they do this? 🥴"
"hard to swallow pills meme", "the truth is harder to handle than I thought 😬"
"spongebob ight imma head out meme", "when you’ve had enough of everything 🏃"
"laughing men in suits meme", "they know something you don’t 🤫"
"bernie asking for support meme", "still asking for your support 💸"
"am i the only one around here meme", "Walter’s got the right idea 😒"
"dr evil laser meme", "air quotes are my superpower ✨"
"too damn high meme", "when everything’s too much and you just want peace 🥴"
"face you make robert downey jr meme", "that face when you realize the truth 🥸"
"who would win meme", "the debate that never ends 🤷"
"yo dawg heard you meme", "yo dawg I got you covered with this idea 💡"
