"input","output"
"a person sitting in front of a laptop with coffee","When you pretend to be busy so your boss thinks you're working"
"a dog wearing sunglasses","Me trying to look cool but I'm just a mess"
"a cat staring out the window","That moment when you realize you have nothing planned for the weekend"
"a person playing video games","When the game freezes after hours of grinding"
"a street with people walking and shopping","When you walk past a store and hear 'SALE' but know you're broke"
"a group of friends laughing","When your friend says something dumb but you laugh anyway"
"a person holding a large pizza","Me trying to act healthy but pizza is life"
"a rainy day outside the window","When you want to go out but the rain is judging you"
"a pile of work on a desk","Me every Monday morning"
"someone jumping into a pool","That feeling when you finally get a break"
"two people fighting over the last slice of pizza","When you and your friend fight over the last snack"
"a person looking at their phone while on a train","When you're pretending to read but really stalking your ex"
"a dog playing fetch","When you throw the ball but it's too far and you regret everything"
"a group of people dancing","Me and my friends trying to dance but looking like fools"
"a person cleaning their room","That moment when you realize your 'clean' room is just a mess in disguise"
"a cat hiding under a blanket","When you're trying to avoid social interaction but people keep calling"
"a student taking a test","Me in every exam: Please let me remember something"
"a car with a flat tire","When life gives you lemons but you don't have time for that"
"someone enjoying ice cream on a hot day","Me on a summer day pretending I'm not sweating buckets"
"a person looking at a map","When you get lost in your own neighborhood"
"a child with a giant ice cream cone","That one time you were too excited for dessert"
"a person holding a bouquet of flowers","When you get flowers and pretend to appreciate them"
"a cat knocking something off a table","When you pretend to be graceful but you're a hot mess"
"a dog sleeping on a couch","Me after a long day: Do not disturb"
"a person trying to fold a fitted sheet","Me struggling to fold laundry like it's an Olympic sport"
"a crowded subway train","When you're too close to strangers and you just want to disappear"
"a person eating fast food","When you tell yourself you'll eat healthy but fast food wins every time"
"a bird perched on a tree branch","That feeling when you're trying to chill but life keeps interrupting"
"a person looking at their reflection in a mirror","When you see yourself after a 5-minute nap and regret it"
"a dog rolling in the grass","When you finally get a day off and just enjoy doing absolutely nothing"
"a person holding a giant book","When you pretend to read but actually just look at the pictures"
"a group of people taking a selfie","Me and my friends trying to take a picture but someone blinks every time"
"a person with a confused look","When you hear someone say 'I'll be there in 5 minutes' and you know they're lying"
"a person in front of a pile of clothes","That moment when you realize your wardrobe is a disaster"
"a dog jumping into water","When you dive into something without thinking and hope for the best"
"a person watching a movie with snacks","When you're at home alone with snacks and the best movie on"
"a person standing in front of a giant pizza","That moment when you question your life choices but pizza makes it better"
"a person in a messy kitchen","When cooking seemed like a good idea but now you regret it"
"a dog barking at a delivery truck","When your dog thinks they're the neighborhood guard dog"
"a couple looking at the sunset","When you pretend to be romantic but you're really just trying to get a good Instagram pic"
"a person holding a balloon","When you're happy but also lowkey worried about the balloon popping"
"a cat playing with a toy","When you're bored and the only entertainment is a toy mouse"
"a person sitting on a park bench","That feeling when you finally get a chance to just sit and do nothing"
"a dog with a hat","When you dress up your dog and they clearly hate it but you don't care"
"a person working out at the gym","When you think you're crushing it but you're actually dying inside"
"a person reading a book","When you're pretending to read but actually scrolling through memes"
"a person on a roller coaster","That moment when you realize you may have made a mistake but it's too late"
"a group of people eating at a restaurant","When the waiter says 'bon appétit' but you're just there for the free bread"
"someone jumping in excitement","When you finally get something you've wanted for so long"
"a dog sitting on a couch looking out the window","When you're judging people from the comfort of your own home"
"a group of friends eating snacks","When your friends bring snacks but you don't share"
"someone lying in a hammock","That moment when you realize your weekend is over and you did nothing"
"a person sitting in front of a laptop with coffee","When you pretend to be busy so your boss thinks you're working"
"a dog wearing sunglasses","Me trying to look cool but I'm just a mess"
"a cat staring out the window","That moment when you realize you have nothing planned for the weekend"
"a person playing video games","When the game finally freezes after hours of grinding"
"a street with people walking and shopping","When you walk past a store and hear 'SALE' but know you're broke"
"a group of friends laughing","When your friend says something dumb but you laugh anyway"
"a person holding a large pizza","Me trying to act healthy but pizza is life"
"a rainy day outside the window","When you want to go out but the rain is judging you"
"a pile of work on a desk","Me every Monday morning"
"someone jumping into a pool","That feeling when you finally get a break"
"two people fighting over the last slice of pizza","When you and your friend fight over the last snack"
"a person looking at their phone while on a train","When you're pretending to read but really stalking your ex"
"a dog playing fetch","When you throw the ball but it's too far and you regret everything"
"a group of people dancing","Me and my friends trying to dance but looking like fools"
"a person cleaning their room","That moment when you realize your 'clean' room is just a mess in disguise"
"a cat hiding under a blanket","When you're trying to avoid social interaction but people keep calling"
"a student taking a test","Me in every exam: Please let me remember something"
"a car with a flat tire","When life gives you lemons but you don't have time for that"
"someone enjoying ice cream on a hot day","Me on a summer day pretending I'm not sweating buckets"
"a person looking at a map","When you get lost in your own neighborhood"
"a child with a giant ice cream cone","That one time you were too excited for dessert"
"a person holding a bouquet of flowers","When you get flowers and pretend to appreciate them"
"a cat knocking something off a table","When you pretend to be graceful but you're a hot mess"
"a dog sleeping on a couch","Me after a long day: Do not disturb"
"a person trying to fold a fitted sheet","Me struggling to fold laundry like it's an Olympic sport"
"a crowded subway train","When you're too close to strangers and you just want to disappear"
"a person eating fast food","When you tell yourself you'll eat healthy but fast food wins every time"
"a bird perched on a tree branch","That feeling when you're trying to chill but life keeps interrupting"
"a person looking at their reflection in a mirror","When you see yourself after a 5-minute nap and regret it"
"a dog rolling in the grass","When you finally get a day off and just enjoy doing absolutely nothing"
"a person holding a giant book","When you pretend to read but actually just look at the pictures"
